Sample_ID	Score	Median_cut	Tercile_cut	Quartile_cut
TCGA.AB.2810	0.639430646	Low	Low	Intermediate1
TCGA.AB.2812	1.015921052	High	Intermediate	Intermediate2
TCGA.AB.2814	1.484569398	High	High	High
TCGA.AB.2818	0.685617844	Low	Low	Intermediate1
TCGA.AB.2819	0.403218291	Low	Low	Low
TCGA.AB.2823	1.013179377	High	Intermediate	Intermediate2
TCGA.AB.2825	0.633219424	Low	Low	Intermediate1
TCGA.AB.2826	0.255743641	Low	Low	Low
TCGA.AB.2830	1.305834898	High	High	Intermediate2
TCGA.AB.2839	1.106881345	High	Intermediate	Intermediate2
TCGA.AB.2841	0.57944811	Low	Low	Intermediate1
TCGA.AB.2845	0.412329456	Low	Low	Low
TCGA.AB.2846	0.435279106	Low	Low	Low
TCGA.AB.2851	0.876210886	Low	Intermediate	Intermediate1
TCGA.AB.2858	0.471002155	Low	Low	Low
TCGA.AB.2862	0.740427524	Low	Intermediate	Intermediate1
TCGA.AB.2867	0.837612591	Low	Intermediate	Intermediate1
TCGA.AB.2869	1.209105513	High	High	Intermediate2
TCGA.AB.2873	0.795236853	Low	Intermediate	Intermediate1
TCGA.AB.2877	0.614006306	Low	Low	Intermediate1
TCGA.AB.2881	0.458496902	Low	Low	Low
TCGA.AB.2882	1.329761974	High	High	High
TCGA.AB.2884	0.519518205	Low	Low	Low
TCGA.AB.2889	0.730406657	Low	Intermediate	Intermediate1
TCGA.AB.2895	1.461298135	High	High	High
TCGA.AB.2896	1.366787603	High	High	High
TCGA.AB.2897	0.223220148	Low	Low	Low
TCGA.AB.2898	1.215256665	High	High	Intermediate2
TCGA.AB.2899	1.043897235	High	Intermediate	Intermediate2
TCGA.AB.2910	0.676341878	Low	Low	Intermediate1
TCGA.AB.2911	0.79789411	Low	Intermediate	Intermediate1
TCGA.AB.2914	0.594518904	Low	Low	Intermediate1
TCGA.AB.2915	1.461638185	High	High	High
TCGA.AB.2916	0.795463985	Low	Intermediate	Intermediate1
TCGA.AB.2917	1.213596241	High	High	Intermediate2
TCGA.AB.2918	0.971337009	High	Intermediate	Intermediate2
TCGA.AB.2919	0.657883789	Low	Low	Intermediate1
TCGA.AB.2921	1.246355713	High	High	Intermediate2
TCGA.AB.2927	1.229301198	High	High	Intermediate2
TCGA.AB.2928	1.492455167	High	High	High
TCGA.AB.2929	1.69320649	High	High	High
TCGA.AB.2930	0.727509445	Low	Intermediate	Intermediate1
TCGA.AB.2936	1.192901002	High	High	Intermediate2
TCGA.AB.2937	0.40585979	Low	Low	Low
TCGA.AB.2942	0.482498326	Low	Low	Low
TCGA.AB.2943	1.452527328	High	High	High
TCGA.AB.2950	0.467843557	Low	Low	Low
TCGA.AB.2952	1.510263292	High	High	High
TCGA.AB.2955	0.638882657	Low	Low	Intermediate1
TCGA.AB.2966	0.718971254	Low	Intermediate	Intermediate1
TCGA.AB.2970	0.967811301	High	Intermediate	Intermediate2
TCGA.AB.2971	0.260099242	Low	Low	Low
TCGA.AB.2973	0.509102556	Low	Low	Low
TCGA.AB.2977	1.035358915	High	Intermediate	Intermediate2
TCGA.AB.2979	0.427082581	Low	Low	Low
TCGA.AB.2981	0.797706756	Low	Intermediate	Intermediate1
TCGA.AB.2982	0.701250655	Low	Intermediate	Intermediate1
TCGA.AB.2986	1.193688586	High	High	Intermediate2
TCGA.AB.2987	0.781820605	Low	Intermediate	Intermediate1
TCGA.AB.2988	1.341511231	High	High	High
TCGA.AB.2991	1.088176394	High	Intermediate	Intermediate2
TCGA.AB.2992	0.900537685	Low	Intermediate	Intermediate1
TCGA.AB.2998	0.446075737	Low	Low	Low
TCGA.AB.3001	0.986247047	High	Intermediate	Intermediate2
TCGA.AB.3011	0.696903621	Low	Intermediate	Intermediate1
TCGA.AB.2805	0.687454995	Low	Low	Intermediate1
TCGA.AB.2806	0.241938328	Low	Low	Low
TCGA.AB.2808	0.509794888	Low	Low	Low
TCGA.AB.2811	0.720670769	Low	Intermediate	Intermediate1
TCGA.AB.2813	0.884406369	Low	Intermediate	Intermediate1
TCGA.AB.2815	0.379609119	Low	Low	Low
TCGA.AB.2817	1.53433326	High	High	High
TCGA.AB.2820	1.288250311	High	High	Intermediate2
TCGA.AB.2821	1.142506277	High	Intermediate	Intermediate2
TCGA.AB.2822	0.92613828	Low	Intermediate	Intermediate1
TCGA.AB.2828	0.584890671	Low	Low	Intermediate1
TCGA.AB.2834	0.728203428	Low	Intermediate	Intermediate1
TCGA.AB.2835	0.473999061	Low	Low	Low
TCGA.AB.2836	0.957433095	High	Intermediate	Intermediate2
TCGA.AB.2840	0.734151838	Low	Intermediate	Intermediate1
TCGA.AB.2842	1.077494962	High	Intermediate	Intermediate2
TCGA.AB.2843	1.062737115	High	Intermediate	Intermediate2
TCGA.AB.2844	0.709467919	Low	Intermediate	Intermediate1
TCGA.AB.2847	1.586004411	High	High	High
TCGA.AB.2849	1.183201961	High	Intermediate	Intermediate2
TCGA.AB.2853	0.803873977	Low	Intermediate	Intermediate1
TCGA.AB.2856	1.216363982	High	High	Intermediate2
TCGA.AB.2857	1.262255978	High	High	Intermediate2
TCGA.AB.2859	1.198601421	High	High	Intermediate2
TCGA.AB.2861	0.725766083	Low	Intermediate	Intermediate1
TCGA.AB.2863	1.00580038	High	Intermediate	Intermediate2
TCGA.AB.2865	1.513444875	High	High	High
TCGA.AB.2866	0.842269985	Low	Intermediate	Intermediate1
TCGA.AB.2870	0.717768398	Low	Intermediate	Intermediate1
TCGA.AB.2871	1.175747996	High	Intermediate	Intermediate2
TCGA.AB.2872	0.267470986	Low	Low	Low
TCGA.AB.2874	0.67277441	Low	Low	Intermediate1
TCGA.AB.2875	0.306835988	Low	Low	Low
TCGA.AB.2880	0.340782852	Low	Low	Low
TCGA.AB.2885	1.663997675	High	High	High
TCGA.AB.2886	0.187216887	Low	Low	Low
TCGA.AB.2888	0.319509156	Low	Low	Low
TCGA.AB.2890	1.17210915	High	Intermediate	Intermediate2
TCGA.AB.2891	0.94988085	High	Intermediate	Intermediate2
TCGA.AB.2900	0.734741521	Low	Intermediate	Intermediate1
TCGA.AB.2901	1.313275477	High	High	Intermediate2
TCGA.AB.2908	1.41318087	High	High	High
TCGA.AB.2912	0.76352186	Low	Intermediate	Intermediate1
TCGA.AB.2913	1.022945398	High	Intermediate	Intermediate2
TCGA.AB.2920	1.686349664	High	High	High
TCGA.AB.2924	0.663637158	Low	Low	Intermediate1
TCGA.AB.2925	0.761232047	Low	Intermediate	Intermediate1
TCGA.AB.2931	1.442705512	High	High	High
TCGA.AB.2932	0.641391889	Low	Low	Intermediate1
TCGA.AB.2933	1.239436726	High	High	Intermediate2
TCGA.AB.2934	1.348004582	High	High	High
TCGA.AB.2935	1.434028786	High	High	High
TCGA.AB.2938	1.153002769	High	Intermediate	Intermediate2
TCGA.AB.2939	0.734107337	Low	Intermediate	Intermediate1
TCGA.AB.2940	0.609758508	Low	Low	Intermediate1
TCGA.AB.2941	1.228819948	High	High	Intermediate2
TCGA.AB.2944	1.65326243	High	High	High
TCGA.AB.2946	0.700061681	Low	Intermediate	Intermediate1
TCGA.AB.2948	0.993756456	High	Intermediate	Intermediate2
TCGA.AB.2949	1.505543912	High	High	High
TCGA.AB.2956	0.371856378	Low	Low	Low
TCGA.AB.2959	0.842865231	Low	Intermediate	Intermediate1
TCGA.AB.2963	0.782159762	Low	Intermediate	Intermediate1
TCGA.AB.2965	0.951988225	High	Intermediate	Intermediate2
TCGA.AB.2975	1.224815584	High	High	Intermediate2
TCGA.AB.2976	1.19953376	High	High	Intermediate2
TCGA.AB.2980	1.060282344	High	Intermediate	Intermediate2
TCGA.AB.2983	1.041047834	High	Intermediate	Intermediate2
TCGA.AB.2984	0.774222593	Low	Intermediate	Intermediate1
TCGA.AB.2990	0.734959896	Low	Intermediate	Intermediate1
TCGA.AB.2994	0.725532564	Low	Intermediate	Intermediate1
TCGA.AB.2995	1.366458815	High	High	High
TCGA.AB.2996	1.012526664	High	Intermediate	Intermediate2
TCGA.AB.2999	0.496887173	Low	Low	Low
TCGA.AB.3000	0.502300008	Low	Low	Low
TCGA.AB.3002	1.360768991	High	High	High
TCGA.AB.3007	0.963735171	High	Intermediate	Intermediate2
TCGA.AB.3008	0.5258897	Low	Low	Low
TCGA.AB.3009	0.477710836	Low	Low	Low
TCGA.AB.3012	0.774526564	Low	Intermediate	Intermediate1
